Naturalization,Category,Var,pvalue,Mean,Sd,Median,Q1,Q3,Min,Max,SE,n
No,Biological,Chla_ugL,0.02955539391680521,2.85,4.888864898931039,0.5,0.3,2.8,0.1,20.8,0.9587852891910841,26
No,Biological,Perc_SubsurfaceCover,1.0343302147345854e-5,0.3942307692307692,1.9592001900304585,0.01,0.01,0.01,0.01,10,0.38423076923076926,26
No,Biological,Perc_SurfaceCover,0.9616852772833191,6.927307692307692,9.385784381794547,5,0.01,10,0.01,40,1.8407037581978767,26
No,Biological,Pheo_ugL,0.32496281507896374,1.0571428571428572,1.7288120802421554,0.6,0.4,0.875,0.2,7,0.4620444635987203,14
No,Chemical,Ca_ppm,0.020118811792462655,164.46153846153845,140.74636216093992,80.5,53.25,257.5,34,528,27.602632581762688,26
No,Chemical,Cl_mgL,0.0027666265973433474,544.5769230769231,697.4188510831592,275.5,164,632.75,78,3361,136.7750896469419,26
No,Chemical,Conductivity_uScm,0.0030155017181403743,2639.3846153846152,2201.969556136925,1910,1183.25,3182.5,927,10570,431.8417590415163,26
No,Chemical,DOC_mgL,7.440682638835455e-7,37.597307692307695,36.424243306643156,23.325000000000003,8.21,56.945,2.48,123.65,7.143381822631725,26
No,Chemical,DO_mgL,0.4060432933045628,11.362307692307692,2.64119564999234,11.735,9.7425,12.385,5.08,17.74,0.5179810830202817,26
No,Chemical,DO_perc,0.42797405221311546,121.7,28.940103662564862,115.85,109.125,135.85,47.9,201,5.675621280800626,26
No,Chemical,Fe_ppb,0.49449957823421786,32.7,74.27589784041658,7.9,6,14.3,0.7,262.3,16.20832972211981,21
No,Chemical,K_ppm,0.5575705076043203,14.96,12.677013318075621,11,6,16,4,54,2.535402663615124,25
No,Chemical,Mg_ppm,0.29283856284979054,46.36,33.10448106626453,52,15,71,4,101,6.620896213252907,25
No,Chemical,Mn_ppb,0.060671124949797865,22.276923076923076,62.7503836335193,2.65,0.8500000000000001,9.475000000000001,0.2,313.3,12.306362716644163,26
No,Chemical,NO3_mgL,0.016965159878181497,69.47894736842105,55.929942079825466,78.2,4.6,117.85,0.2,153.3,12.831208707581172,19
No,Chemical,Na_ppm,0.0033560448463442302,289.5,353.96115606094406,174.5,137,265.5,105,1827,69.41749391571595,26
No,Chemical,SO4_mgL,0.14647018142909454,199.28846153846155,150.8682453717099,217.9,41.675,338.2,15.8,399.7,29.587697197378965,26
No,Chemical,S_ppm,0.14545260470533697,84.48,59.39635230101817,88,23,134,4,164,11.879270460203633,25
No,Chemical,Si_ppm,0.13265459210633715,6.8,4.250077398676034,8,1.75,10,1,13,0.9503461973075086,20
No,Chemical,Sr_ppm,0.013316980082116063,1.6,0.8207826816681233,1,1,2,1,3,0.1835325870964494,20
No,Chemical,TDN_mgL,5.366825363530261e-4,32.221923076923076,38.46125895175359,6.9399999999999995,0.72,53.544999999999995,0.19,108.39,7.542873458166798,26
No,Chemical,TP_mgL,5.7623328906496216e-5,0.04961538461538462,0.05480735492473755,0.03,0.03,0.05,0.01,0.26,0.010748606624986248,26
No,Chemical,Temp_C,0.3064632257875875,19.857692307692307,8.491132931566815,20.15,11.425,28.175,9.5,31.3,1.6652481734834423,26
No,Chemical,pH,0.006854057504280006,7.593846153846154,1.1920170365328742,7.74,7.3999999999999995,8.29,3.79,8.96,0.23377377422369883,26
No,Physical,Depth,0.17,0.5035409342832117,0.25765823965908585,0.4913678618857902,0.4,0.5882352941176471,0.04929577464788732,1,0.07146153804897103,13
No,Physical,Surface_m2,0.0387,702.7692307692307,745.0708192118556,407,59,825,17,2225,206.64546480925426,13
No,Physical,volume_m3,0.202,408.6923076923077,646.7769301976513,155,35,370,8,2112,179.38364504729424,13
Yes,Biological,Chla_ugL,0.02955539391680521,6.305357142857143,11.102684681772114,1.9,1.0750000000000002,5.6,0.2,54.7,1.4836586483062328,56
Yes,Biological,Perc_SubsurfaceCover,1.0343302147345854e-5,26.87892857142857,37.066598866883396,10,0.01,46.25,0.01,100,4.95323262331646,56
Yes,Biological,Perc_SurfaceCover,0.9616852772833191,17.326428571428572,24.84077135594709,2.505,0.01,35,0.01,100,3.3194877013264987,56
Yes,Biological,Pheo_ugL,0.32496281507896374,1.2961538461538462,1.434718191699248,0.8,0.5,1.525,0.1,7.8,0.1989596156158697,52
Yes,Chemical,Ca_ppm,0.020118811792462655,77.19642857142857,35.62043317732478,64,50.5,95.25,34,172,4.759980604215173,56
Yes,Chemical,Cl_mgL,0.0027666265973433474,192.69642857142858,105.3313248137181,176,115,245,67,613,14.07549034099763,56
Yes,Chemical,Conductivity_uScm,0.0030155017181403743,1342.017857142857,571.2855834494188,1151.5,951,1730.75,560,3270,76.34124725967781,56
Yes,Chemical,DOC_mgL,7.440682638835455e-7,5.963392857142857,6.7495918467269265,3.575,1.9575,7.8775,0.91,42.95,0.9019521496791062,56
Yes,Chemical,DO_mgL,0.4060432933045628,10.86357142857143,2.874247682483147,11.239999999999998,9.6525,12.11,0.43,20.1,0.3840875025921767,56
Yes,Chemical,DO_perc,0.42797405221311546,116.58214285714286,32.56612912573071,110.45,105.675,134.77499999999998,5.2,191.5,4.351832057211583,56
Yes,Chemical,Fe_ppb,0.49449957823421786,10.430769230769231,8.19855411598656,7.550000000000001,4.800000000000001,13.5,2.5,41.3,1.1369348942252262,52
Yes,Chemical,K_ppm,0.5575705076043203,12.428571428571429,7.912836849890627,12,6,17,1,36,1.0573973017760825,56
Yes,Chemical,Mg_ppm,0.29283856284979054,31.339285714285715,27.604529790146128,20,11,55.25,7,115,3.688810457061485,56
Yes,Chemical,Mn_ppb,0.060671124949797865,4.516363636363637,10.14989077913072,1.3,0.55,3.6,0.1,63.7,1.3686109934613722,55
Yes,Chemical,NO3_mgL,0.016965159878181497,12.94054054054054,21.862086149560632,3.6,1.7,9.8,0.5,89.9,3.594104823370246,37
Yes,Chemical,Na_ppm,0.0033560448463442302,140.33928571428572,63.470616476005304,123,107.5,157.75,63,385,8.48161789216218,56
Yes,Chemical,SO4_mgL,0.14647018142909454,110.70178571428572,103.36842051801706,74.1,33.125,143.425,17.8,488,13.813186221085486,56
Yes,Chemical,S_ppm,0.14545260470533697,44.785714285714285,38.231692843272555,32,14,82.25,9,161,5.108924854853686,56
Yes,Chemical,Si_ppm,0.13265459210633715,4.170212765957447,5.057577822634803,2,1,5.5,1,20,0.7377235460985656,47
Yes,Chemical,Sr_ppm,0.013316980082116063,1.1081081081081081,0.3148000938676784,1,1,1,1,2,0.05175281663547774,37
Yes,Chemical,TDN_mgL,5.366825363530261e-4,2.1205357142857144,3.7378274777264338,0.85,0.37750000000000006,2.0075,0.13,20.45,0.4994882068757758,56
Yes,Chemical,TP_mgL,5.7623328906496216e-5,0.02,0.014770978917519929,0.02,0.01,0.02,0.01,0.07,0.001973855084879307,56
Yes,Chemical,Temp_C,0.3064632257875875,19.31607142857143,8.234512223467858,19.45,11.624999999999998,26.775,7.2,32.5,1.1003829816935293,56
Yes,Chemical,pH,0.006854057504280006,8.196964285714285,0.4233542236724451,8.21,8.055,8.4325,6.4,9.19,0.056573087793783984,56
Yes,Physical,Depth,0.17,0.9871951523664639,1.5026783499929137,0.5430402930402931,0.4621420389461626,0.8300000000000001,0.22348484848484848,8,0.28397951532872334,28
Yes,Physical,Surface_m2,0.0387,225.85714285714286,312.0333213789733,80.5,38,315.75,5,1309,58.96875493816124,28
Yes,Physical,volume_m3,0.202,241.14285714285714,659.1180254162159,68,18.75,212,3,3528,124.56159856366124,28
